date,prediction,reality
103,24.469371795654297,38.369998931884766
104,68.89842224121094,88.36000061035156
105,38.13673400878906,27.969999313354492
106,41.034759521484375,26.149999618530273
107,41.17668914794922,19.40999984741211
108,30.66059684753418,23.610000610351562
109,25.244991302490234,31.100000381469727
110,119.12094116210938,74.76000213623047
111,42.96005630493164,31.139999389648438
112,44.69108200073242,33.95000076293945
113,31.968570709228516,40.7599983215332
114,41.60831832885742,22.100000381469727
115,93.83809661865234,104.94000244140625
116,233.82867431640625,193.49000549316406
117,117.77333068847656,151.89999389648438
118,217.02908325195312,175.1699981689453
119,42.00199890136719,49.22999954223633
120,92.15914916992188,99.16999816894531
121,55.58494567871094,16.420000076293945
122,93.20967102050781,87.79000091552734
123,48.148651123046875,34.029998779296875
124,70.90878295898438,79.56999969482422
125,44.06684112548828,44.7599983215332
126,34.83287811279297,45.43000030517578
127,372.0289306640625,454.7799987792969
128,71.4404296875,48.56999969482422
129,94.94925689697266,100.52999877929688
130,29.176197052001953,24.260000228881836
131,245.53857421875,220.08999633789062
132,39.67433166503906,41.40999984741211
133,332.72686767578125,329.2699890136719
134,24.13620376586914,19.530000686645508
135,243.64645385742188,241.6300048828125
136,113.61701965332031,98.95999908447266
137,101.47126770019531,109.5999984741211
138,102.64060974121094,105.54000091552734
139,68.59867095947266,28.829999923706055
140,31.751937866210938,20.440000534057617
141,49.245277404785156,38.56999969482422
142,107.31717681884766,116.36000061035156
143,58.947509765625,43.63999938964844
144,69.33631896972656,77.73999786376953
145,23.495025634765625,14.430000305175781
146,371.791015625,464.8500061035156
147,210.88931274414062,190.92999267578125
148,53.76778793334961,41.349998474121094
149,60.24786376953125,45.310001373291016
150,242.86129760742188,274.0199890136719
151,62.251075744628906,57.849998474121094
152,139.78948974609375,120.48999786376953
153,54.64100646972656,46.130001068115234
154,172.50299072265625,90.41999816894531
155,39.45429992675781,31.829999923706055
156,43.16317367553711,35.27000045776367
157,33.670204162597656,29.959999084472656
158,62.09422302246094,47.45000076293945
159,372.1103210449219,589.219970703125
160,186.4522705078125,157.85000610351562
161,41.327239990234375,31.6200008392334
162,61.20387649536133,56.22999954223633
163,63.35612106323242,69.3499984741211
164,53.3748779296875,82.91000366210938
165,227.10543823242188,168.5399932861328
166,44.95367431640625,62.47999954223633
167,39.192054748535156,37.529998779296875
168,41.654415130615234,39.93000030517578
169,236.7950439453125,239.92999267578125
170,181.39990234375,225.77000427246094
171,26.81258773803711,28.290000915527344
172,62.10482406616211,50.790000915527344
173,201.37957763671875,187.13999938964844
174,230.066162109375,243.74000549316406
